	campaign_id	campaign_name	campaign_description	discount
0	CAMPAIGN24776	wouldn't you know it	"""Twee retro vinyl single-origin coffee sartorial fanny pack brunch offal health."" - Raleigh Senger"	1%
1	CAMPAIGN33679	could be written on the back of a postage stamp	"""Fanny pack gentrify cardigan messenger bag."" - Bradley Stamm"	1pct
2	CAMPAIGN49972	me neither	"""DIY pug leggings everyday craft beer cardigan knausgaard +1 crucifix flannel."" - Tremayne Nader"	10%%
3	CAMPAIGN61872	on the huh	"""Trust fund pinterest chambray."" - Claude Aufderhar"	5%
4	CAMPAIGN03110	stick a fork in it	"""YOLO tumblr Yuccie austin."" - Jordi Kunde"	1percent
5	CAMPAIGN46302	you must be new here	"""Craft beer XOXO hella tacos chillwave cred organic letterpress disrupt artisan."" - Rodrick Lebsack"	1pct
6	CAMPAIGN11190	mind your own beeswax	"""Street shoreditch viral before they sold out yr ramps skateboard skateboard bitters pabst."" - Brendan Miller"	10pct
7	CAMPAIGN53595	how do I get to the train station	"""Craft beer venmo lomo fixie readymade marfa."" - Benny Bogan"	20pct
8	CAMPAIGN29983	would it hurt	"""Vegan migas ramps keytar wolf cray kickstarter five dollar toast."" - Adeline Brakus"	1%
9	CAMPAIGN52447	pound for pound	"""Semiotics biodiesel everyday craft beer etsy semiotics keffiyeh meditation single-origin coffee."" - Bernadette Pollich"	1percent
